dir	additions	deletions	changes
misc/cgo/testshared/testdata/implicitcmd	22	12	34
misc/cgo/testshared/testdata/iface_i	17	17	34
misc/cgo/testplugin/testdata/issue44956/base	25	10	35
misc/cgo/testshared/testdata/issue39777/b	28	7	35
src/cmd/vet/testdata/tagtest	36	0	36
src/cmd/vet/testdata/src/cgo	18	18	36
test/fixedbugs/issue29612.dir/p1/ssa	36	0	36
src/cmd/go/testdata/src/coverdot2	0	36	36
src/cmd/go/testdata/importcom	0	36	36
src/cmd/vet/testdata/src/unmarshal	18	18	36
src/cmd/go/testdata/local/sub	0	36	36
src/cmd/go/internal/doc	21	16	37
src/os/signal/internal/pty	21	16	37
src/go/doc/testdata/pkgdoc	38	0	38
src/internal/singleflight	19	19	38
misc/cgo/testshared/testdata/iface_b	19	19	38
misc/cgo/testshared/testdata/iface_a	19	19	38
test/abi/bad_select_crash.dir	19	19	38
src/cmd/vendor/golang.org/x/tools/go/analysis/passes/ctrlflow	25	14	39
src/cmd/go/testdata/src/vetcycle	0	39	39
src/cmd/go/testdata/src/vetfail/p2	0	39	39
src/cmd/link/testdata	26	13	39
src/cmd/go/testdata/src/coverdep	0	39	39
src/cmd/vet/testdata/copylock	39	0	39
src/cmd/vendor/github.com/google/pprof/internal/binutils/testdata/exe_mac_64.dSYM/Contents	0	40	40
misc/cgo/testshared/src/issue25065	20	20	40
src/cmd/link/internal/ld/testdata/issue39757	37	3	40
src/cmd/vendor/github.com/google/pprof/internal/binutils/testdata/lib_mac_64.dSYM/Contents	0	40	40
test/typeparam/issue49524.dir	28	12	40
misc	24	17	41
src/cmd/go/internal/imports/testdata/star	32	10	42
src/encoding/ascii85	16	26	42
test/typeparam/issue49536.dir	42	0	42
src/cmd/doc/testdata/merge	42	0	42
misc/cgo/test/testdata/issue41761a	42	0	42
src/cmd/go/testdata/testcover/pkg3	0	42	42
src/container/ring	16	26	42
src/crypto/des	27	15	42
misc/cgo/testshared/testdata/iface	21	21	42
src/cmd/go/testdata/local	0	42	42
misc/cgo/test/issue27340	42	0	42
test/fixedbugs/issue33739.dir	38	5	43
src/runtime/pprof/testdata/mappingtest	26	17	43
misc/cgo/testshared/testdata/issue30768/issue30768lib	33	11	44
src/cmd/vet/testdata/src/httpresponse	22	22	44
src/cmd/go/testdata/src/testcycle/p3	0	45	45
src/cmd/vendor/golang.org/x/tools/go/analysis/passes/unreachable	39	6	45
misc/cgo/testshared/testdata/issue39777/a	36	9	45
misc/cgo/testplugin/testdata/method2/p	45	0	45
misc/cgo/testcarchive/testdata/libgo7	43	3	46
src/cmd/vendor/github.com/google/pprof	46	0	46
src/vendor/golang_org/x/crypto/cryptobyte/asn1	0	46	46
src/cmd/compile/internal/types2/testdata/check/issue25008	48	0	48
src/vendor/golang.org/x/crypto/cryptobyte/asn1	47	1	48
src/cmd/go/testdata/local/easysub	0	48	48
src/cmd/vet/testdata/src/composite	24	24	48
src/cmd/go/testdata/src/coverasm	0	48	48
misc/cgo/testshared/testdata/gcdata/p	35	14	49
test/typeparam/issue48094b.dir	44	5	49
test/fixedbugs/issue33020a.dir	46	3	49
src/net/testdata	20	30	50
src/cmd/go/testdata/src/vetpkg	0	51	51
src/cmd/go/testdata/src/coverbad	0	51	51
src/mime/testdata	52	0	52
misc/git	0	52	52
misc/cgo/testshared/testdata/dep3	26	26	52
src/cmd/vet/testdata/divergent	0	52	52
src/crypto/tls/fipsonly	52	1	53
src/cmd/vendor/golang.org/x/tools/go/analysis/passes/inspect	30	23	53
